crates/ggen-a2a-mcp/src/a2a_generated/	GENERATED	mod.rs header lines 1-2: "Generated by ggen from A2A ontology / Do not edit - regenerate with: ggen sync"; NOTE no ggen.toml rule currently targets this dir (grep -c a2a_generated ggen.toml = 0) — G-ledger promotion needs rewiring
crates/ggen-a2a-mcp/src/a2a/mod.rs	GENERATABLE-WITH-SPEC	serde task/state type definitions; same shape as a2a_generated type templates
crates/ggen-a2a-mcp/src/a2a/artifact.rs	GENERATABLE-WITH-SPEC	artifact serde type defs, no algorithm
crates/ggen-a2a-mcp/src/a2a/receipt.rs	GENERATABLE-WITH-SPEC	receipt serde type defs, no algorithm
crates/ggen-a2a-mcp/src/a2a/state_machine.rs	GENERATABLE-WITH-SPEC	TaskState transition table + guards; transition matrices are TTL-expressible (cf. genesis-schema-v2 workflow patterns)
crates/ggen-a2a-mcp/src/a2a/ggen_construct.rs	GENERATABLE-WITH-SPEC	MCP tool adapter with explicit spec (PLAN_INTEGRATION.md 2.2); nearest template family templates/mcp-server/
crates/ggen-a2a-mcp/src/a2a/transport.rs	IRREDUCIBLY-CUSTOM	tokio mpsc/RwLock inter-agent channel plumbing with lifecycle management; no declarative shape
crates/ggen-a2a-mcp/src/a2a_registry/types.rs	GENERATABLE-WITH-SPEC	registry entry/status type defs
crates/ggen-a2a-mcp/src/a2a_registry/error.rs	GENERATABLE-WITH-SPEC	thiserror enum boilerplate
crates/ggen-a2a-mcp/src/a2a_registry/query.rs	GENERATABLE-WITH-SPEC	declarative agent query matcher
crates/ggen-a2a-mcp/src/a2a_registry/store.rs	GENERATABLE-WITH-SPEC	AgentStore trait + in-memory CRUD impl
crates/ggen-a2a-mcp/src/a2a_registry/registry.rs	GENERATABLE-WITH-SPEC	thin orchestration facade over store + health monitor
crates/ggen-a2a-mcp/src/a2a_registry/mod.rs	GENERATABLE-WITH-SPEC	module re-exports
crates/ggen-a2a-mcp/src/a2a_registry/health.rs	IRREDUCIBLY-CUSTOM	background tokio health-check loop (interval/timeout/Notify shutdown, HTTP pings)
crates/ggen-a2a-mcp/src/mcp_packs.rs	GENERATABLE-WITH-SPEC	tool-table wire layer over ggen_core::agent::PackAgent; schemars-typed dispatch, logic lives in ggen-core
crates/ggen-a2a-mcp/src/mcp_server.rs	GENERATABLE-WITH-SPEC	rmcp tool_router registration wiring; templates/mcp-server/stdio_server.rs.tera is nearest template (unwired)
crates/ggen-a2a-mcp/src/lib.rs	GENERATABLE-WITH-SPEC	crate re-exports
