crates/ggen-core/src/domain/ontology/standards.rs	GENERATABLE-NOW	include_str! wrappers over ontologies/*.ttl (OWL_TTL, RDF_TTL, SCHEMA_TTL...); content already lives in TTL files, only const-wrapper emission wiring missing
crates/ggen-core/src/codegen/python.rs	GENERATABLE-WITH-SPEC	language emitter: template-shaped string assembly; payload of the machinery, convertible to .tera templates + TTL emitter spec
crates/ggen-core/src/codegen/go.rs	GENERATABLE-WITH-SPEC	language emitter, same pattern as python.rs
crates/ggen-core/src/codegen/typescript.rs	GENERATABLE-WITH-SPEC	language emitter, template-shaped
crates/ggen-core/src/codegen/terraform.rs	GENERATABLE-WITH-SPEC	IaC emitter, template-shaped
crates/ggen-core/src/codegen/docker_kubernetes.rs	GENERATABLE-WITH-SPEC	manifest emitter, template-shaped
crates/ggen-core/src/codegen/elixir.rs	GENERATABLE-WITH-SPEC	language emitter, template-shaped
crates/ggen-core/src/codegen/	IRREDUCIBLY-CUSTOM	E-ledger candidate: codegen pipeline.rs/executor.rs/canonicalize.rs/incremental/watch/transaction — mu-machinery orchestration
crates/ggen-core/src/domain/config	GENERATABLE-WITH-SPEC	config schema structs + serde parsing; boilerplate-shaped
crates/ggen-core/src/domain/mcp_config.rs	GENERATABLE-WITH-SPEC	MCP config schema structs (serde)
crates/ggen-core/src/domain/packs/	GENERATABLE-WITH-SPEC	pack registry/installer/metadata CRUD wiring; mixed-dir note: advanced_resolver.rs + dependency_graph.rs (~1k LOC) are algorithmic minority, E-ledger candidates
crates/ggen-core/src/domain/template/	GENERATABLE-WITH-SPEC	CLI command handlers over template ops; command-wiring shape
crates/ggen-core/src/domain/cli_helpers.rs	GENERATABLE-WITH-SPEC	CLI wiring helpers
crates/ggen-core/src/domain/ci/	GENERATABLE-WITH-SPEC	CI config emission, template-shaped
crates/ggen-core/src/domain/shell/	GENERATABLE-WITH-SPEC	shell integration wiring
crates/ggen-core/src/domain/project/	GENERATABLE-WITH-SPEC	project scaffolding command wiring
crates/ggen-core/src/domain/environment.rs	GENERATABLE-WITH-SPEC	environment config struct
crates/ggen-core/src/domain/	IRREDUCIBLY-CUSTOM	E-ledger candidate: domain graph/rdf/ontology/generation/sync_profile — semantic core of the domain layer (mixed dir; GWS subdirs split out above)
crates/ggen-core/src/utils/fmea	GENERATABLE-WITH-SPEC	FMEA catalog/registry/type modules; data-table shaped
crates/ggen-core/src/utils/error.rs	GENERATABLE-WITH-SPEC	thiserror error-enum boilerplate
crates/ggen-core/src/utils/enhanced_error.rs	GENERATABLE-WITH-SPEC	error type boilerplate
crates/ggen-core/src/utils/types.rs	GENERATABLE-WITH-SPEC	type definitions
crates/ggen-core/src/utils/	IRREDUCIBLY-CUSTOM	E-ledger candidates: secrets.rs, safe_command.rs, path_validator.rs, safe_path.rs, supply_chain.rs — security-critical path/command sandboxing
crates/ggen-core/src/pipeline_engine/	IRREDUCIBLY-CUSTOM	E-ledger candidate: the mu-pipeline itself (passes/, receipt.rs, proof_gate.rs, guard.rs, epoch.rs)
crates/ggen-core/src/graph/	IRREDUCIBLY-CUSTOM	E-ledger candidate: Oxigraph wrapper — store, query, construct, update, cycle detection/fixing
crates/ggen-core/src/rdf/	IRREDUCIBLY-CUSTOM	E-ledger candidate: RDF query builder, schema, template metadata over triples; ships code_ontology.ttl + schema.ttl alongside
crates/ggen-core/src/canonical/	IRREDUCIBLY-CUSTOM	E-ledger candidate: canonical hashing/serialization — determinism core
crates/ggen-core/src/merge/	IRREDUCIBLY-CUSTOM	E-ledger candidate: three-way merge algorithm
crates/ggen-core/src/security/	IRREDUCIBLY-CUSTOM	E-ledger candidate: intrusion detection, audit trail, secure templating, security event pipeline
